language_1,language_2,same_family,feature_set
por,ron,0,fam
por,mlt,0,fam
por,hun,0,fam
por,ces,0,fam
por,slk,0,fam
por,bul,0,fam
por,hrv,0,fam
por,lit,0,fam
por,lav,0,fam
por,est,0,fam
por,isl,0,fam
por,zho,0,fam
por,ara,0,fam
por,tur,0,fam
por,hin,0,fam
por,ben,0,fam
por,jpn,0,fam
por,kor,0,fam
por,rus,0,fam
por,urd,0,fam
por,vie,0,fam
por,tha,0,fam
por,ind,0,fam
por,fas,0,fam
pol,swe,0,fam
pol,dan,0,fam
pol,nor,0,fam
pol,fin,0,fam
pol,ell,0,fam
pol,ron,0,fam
pol,mlt,0,fam
pol,hun,0,fam
pol,ces,0,fam
pol,slk,0,fam
pol,bul,0,fam
pol,hrv,0,fam
pol,lit,0,fam
pol,lav,0,fam
pol,est,0,fam
pol,isl,0,fam
pol,zho,0,fam
pol,ara,0,fam
pol,tur,0,fam
pol,hin,0,fam
pol,ben,0,fam
pol,jpn,0,fam
pol,kor,0,fam
pol,rus,0,fam
pol,urd,0,fam
pol,vie,0,fam
pol,tha,0,fam
pol,ind,0,fam
pol,fas,0,fam
swe,dan,0,fam
swe,nor,0,fam
swe,fin,0,fam
swe,ell,0,fam
swe,ron,0,fam
swe,mlt,0,fam
swe,hun,0,fam
swe,ces,0,fam
swe,slk,0,fam
swe,bul,0,fam
swe,hrv,0,fam
swe,lit,0,fam
swe,lav,0,fam
swe,est,0,fam
swe,isl,0,fam
swe,zho,0,fam
swe,ara,0,fam
swe,tur,0,fam
swe,hin,0,fam
swe,ben,0,fam
swe,jpn,0,fam
swe,kor,0,fam
swe,rus,0,fam
swe,urd,0,fam
swe,vie,0,fam
swe,tha,0,fam
swe,ind,0,fam
swe,fas,0,fam
dan,nor,0,fam
dan,fin,0,fam
dan,ell,0,fam
dan,ron,0,fam
dan,mlt,0,fam
dan,hun,0,fam
dan,ces,0,fam
dan,slk,0,fam
dan,bul,0,fam
dan,hrv,0,fam
dan,lit,0,fam
dan,lav,0,fam
dan,est,0,fam
dan,isl,0,fam
dan,zho,0,fam
dan,ara,0,fam
dan,tur,0,fam
dan,hin,0,fam
dan,ben,0,fam
dan,jpn,0,fam
dan,kor,0,fam
dan,rus,0,fam
dan,urd,0,fam
dan,vie,0,fam
dan,tha,0,fam
dan,ind,0,fam
dan,fas,0,fam
nor,fin,0,fam
nor,ell,0,fam
nor,ron,0,fam
nor,mlt,0,fam
nor,hun,0,fam
nor,ces,0,fam
nor,slk,0,fam
nor,bul,0,fam
nor,hrv,0,fam
nor,lit,0,fam
nor,lav,0,fam
nor,est,0,fam
nor,isl,0,fam
nor,zho,0,fam
nor,ara,0,fam
nor,tur,0,fam
nor,hin,0,fam
nor,ben,0,fam
nor,jpn,0,fam
nor,kor,0,fam
nor,rus,0,fam
nor,urd,0,fam
nor,vie,0,fam
nor,tha,0,fam
nor,ind,0,fam
nor,fas,0,fam
fin,ell,0,fam
fin,ron,0,fam
fin,mlt,0,fam
fin,hun,0,fam
fin,ces,0,fam
fin,slk,0,fam
fin,bul,0,fam
fin,hrv,0,fam
fin,lit,0,fam
fin,lav,0,fam
fin,est,0,fam
fin,isl,0,fam
fin,zho,0,fam
fin,ara,0,fam
fin,tur,0,fam
fin,hin,0,fam
fin,ben,0,fam
fin,jpn,0,fam
fin,kor,0,fam
fin,rus,0,fam
fin,urd,0,fam
fin,vie,0,fam
fin,tha,0,fam
fin,ind,0,fam
fin,fas,0,fam
ell,ron,0,fam
ell,mlt,0,fam
ell,hun,0,fam
ell,ces,0,fam
ell,slk,0,fam
ell,bul,0,fam
ell,hrv,0,fam
ell,lit,0,fam
ell,lav,0,fam
ell,est,0,fam
ell,isl,0,fam
ell,zho,0,fam
ell,ara,0,fam
ell,tur,0,fam
ell,hin,0,fam
ell,ben,0,fam
ell,jpn,0,fam
ell,kor,0,fam
ell,rus,0,fam
ell,urd,0,fam
ell,vie,0,fam
ell,tha,0,fam
ell,ind,0,fam
ell,fas,0,fam
ron,mlt,0,fam
ron,hun,0,fam
ron,ces,0,fam
ron,slk,0,fam
ron,bul,0,fam
ron,hrv,0,fam
ron,lit,0,fam
ron,lav,0,fam
ron,est,0,fam
ron,isl,0,fam
ron,zho,0,fam
ron,ara,0,fam
ron,tur,0,fam
ron,hin,0,fam
ron,ben,0,fam
ron,jpn,0,fam
ron,kor,0,fam
ron,rus,0,fam
ron,urd,0,fam
ron,vie,0,fam
ron,tha,0,fam
ron,ind,0,fam
ron,fas,0,fam
mlt,hun,0,fam
mlt,ces,0,fam
mlt,slk,0,fam
mlt,bul,0,fam
mlt,hrv,0,fam
mlt,lit,0,fam
mlt,lav,0,fam
mlt,est,0,fam
mlt,isl,0,fam
mlt,zho,0,fam
mlt,ara,0,fam
mlt,tur,0,fam
mlt,hin,0,fam
mlt,ben,0,fam
mlt,jpn,0,fam
mlt,kor,0,fam
mlt,rus,0,fam
mlt,urd,0,fam
mlt,vie,0,fam
mlt,tha,0,fam
mlt,ind,0,fam
mlt,fas,0,fam
hun,ces,0,fam
hun,slk,0,fam
hun,bul,0,fam
hun,hrv,0,fam
hun,lit,0,fam
hun,lav,0,fam
hun,est,0,fam
hun,isl,0,fam
hun,zho,0,fam
hun,ara,0,fam
hun,tur,0,fam
hun,hin,0,fam
hun,ben,0,fam
hun,jpn,0,fam
hun,kor,0,fam
hun,rus,0,fam
hun,urd,0,fam
hun,vie,0,fam
hun,tha,0,fam
hun,ind,0,fam
hun,fas,0,fam
ces,slk,0,fam
ces,bul,0,fam
ces,hrv,0,fam
ces,lit,0,fam
ces,lav,0,fam
ces,est,0,fam
ces,isl,0,fam
ces,zho,0,fam
ces,ara,0,fam
ces,tur,0,fam
ces,hin,0,fam
ces,ben,0,fam
ces,jpn,0,fam
ces,kor,0,fam
ces,rus,0,fam
ces,urd,0,fam
ces,vie,0,fam
ces,tha,0,fam
ces,ind,0,fam
ces,fas,0,fam
slk,bul,0,fam
slk,hrv,0,fam
slk,lit,0,fam
slk,lav,0,fam
slk,est,0,fam
slk,isl,0,fam
slk,zho,0,fam
slk,ara,0,fam
slk,tur,0,fam
slk,hin,0,fam
slk,ben,0,fam
slk,jpn,0,fam
slk,kor,0,fam
slk,rus,0,fam
slk,urd,0,fam
slk,vie,0,fam
slk,tha,0,fam
slk,ind,0,fam
slk,fas,0,fam
bul,hrv,0,fam
bul,lit,0,fam
bul,lav,0,fam
bul,est,0,fam
bul,isl,0,fam
bul,zho,0,fam
bul,ara,0,fam
bul,tur,0,fam
bul,hin,0,fam
bul,ben,0,fam
bul,jpn,0,fam
bul,kor,0,fam
bul,rus,0,fam
bul,urd,0,fam
bul,vie,0,fam
bul,tha,0,fam
bul,ind,0,fam
bul,fas,0,fam
hrv,lit,0,fam
hrv,lav,0,fam
hrv,est,0,fam
hrv,isl,0,fam
hrv,zho,0,fam
hrv,ara,0,fam
hrv,tur,0,fam
hrv,hin,0,fam
hrv,ben,0,fam
hrv,jpn,0,fam
hrv,kor,0,fam
hrv,rus,0,fam
hrv,urd,0,fam
hrv,vie,0,fam
hrv,tha,0,fam
hrv,ind,0,fam
hrv,fas,0,fam
lit,lav,1,fam
lit,est,0,fam
lit,isl,0,fam
lit,zho,0,fam
lit,ara,0,fam
lit,tur,0,fam
lit,hin,0,fam
lit,ben,0,fam
lit,jpn,0,fam
lit,kor,0,fam
lit,rus,0,fam
lit,urd,0,fam
lit,vie,0,fam
lit,tha,0,fam
lit,ind,0,fam
lit,fas,0,fam
lav,est,0,fam
lav,isl,0,fam
lav,zho,0,fam
lav,ara,0,fam
lav,tur,0,fam
lav,hin,0,fam
lav,ben,0,fam
lav,jpn,0,fam
lav,kor,0,fam
lav,rus,0,fam
lav,urd,0,fam
lav,vie,0,fam
lav,tha,0,fam
lav,ind,0,fam
lav,fas,0,fam
est,isl,0,fam
est,zho,0,fam
est,ara,0,fam
est,tur,0,fam
est,hin,0,fam
est,ben,0,fam
est,jpn,0,fam
est,kor,0,fam
est,rus,0,fam
est,urd,0,fam
est,vie,0,fam
est,tha,0,fam
est,ind,0,fam
est,fas,0,fam
isl,zho,0,fam
isl,ara,0,fam
isl,tur,0,fam
isl,hin,0,fam
isl,ben,0,fam
isl,jpn,0,fam
isl,kor,0,fam
isl,rus,0,fam
isl,urd,0,fam
isl,vie,0,fam
isl,tha,0,fam
isl,ind,0,fam
isl,fas,0,fam
zho,ara,0,fam
zho,tur,0,fam
zho,hin,0,fam
zho,ben,0,fam
zho,jpn,0,fam
zho,kor,0,fam
zho,rus,0,fam
zho,urd,0,fam
zho,vie,0,fam
zho,tha,0,fam
zho,ind,0,fam
zho,fas,0,fam
ara,tur,0,fam
ara,hin,0,fam
ara,ben,0,fam
ara,jpn,0,fam
ara,kor,0,fam
ara,rus,0,fam
ara,urd,0,fam
ara,vie,0,fam
ara,tha,0,fam
ara,ind,0,fam
ara,fas,0,fam
tur,hin,0,fam
tur,ben,0,fam
tur,jpn,0,fam
tur,kor,0,fam
tur,rus,0,fam
tur,urd,0,fam
tur,vie,0,fam
tur,tha,0,fam
tur,ind,0,fam
tur,fas,0,fam
hin,ben,0,fam
hin,jpn,0,fam
hin,kor,0,fam
hin,rus,0,fam
hin,urd,1,fam
hin,vie,0,fam
hin,tha,0,fam
hin,ind,0,fam
hin,fas,0,fam
ben,jpn,0,fam
ben,kor,0,fam
ben,rus,0,fam
ben,urd,0,fam
ben,vie,0,fam
ben,tha,0,fam
ben,ind,0,fam
ben,fas,0,fam
jpn,kor,0,fam
jpn,rus,0,fam
jpn,urd,0,fam
jpn,vie,0,fam
jpn,tha,0,fam
jpn,ind,0,fam
jpn,fas,0,fam
kor,rus,0,fam
kor,urd,0,fam
kor,vie,0,fam
kor,tha,0,fam
kor,ind,0,fam
kor,fas,0,fam
rus,urd,0,fam
rus,vie,0,fam
rus,tha,0,fam
rus,ind,0,fam
rus,fas,0,fam
urd,vie,0,fam
urd,tha,0,fam
urd,ind,0,fam
urd,fas,0,fam
vie,tha,0,fam
vie,ind,0,fam
vie,fas,0,fam
tha,ind,0,fam
tha,fas,0,fam
ind,fas,0,fam
